Company Name,Industry / Specialization,Overview,Website,Careers Link,Expectations,Related Diploma(s),Resource
Mediacorp,Media & Broadcasting,"Singapore's national media network, operating TV, radio, and digital content brands across multiple languages, including CNA (Channel News Asia) for news and current affairs. Actively growing its regional digital content and business development functions alongside traditional broadcast production, and regularly hires interns and fresh graduates into journalism, content production, and commercial/marketing roles.",mediacorp.sg,mediacorp.recruiterpal.com,"A strong content portfolio, storytelling, adaptability across platforms",Diploma in Mass Communication; Diploma in Digital Content Creation,LinkedIn Learning - Journalism & Storytelling Fundamentals
CapitaLand,Real Estate,"One of Asia's largest diversified real estate groups, headquartered in Singapore with a portfolio spanning 270 cities in 45 countries across two main arms - CapitaLand Investment (real asset management) and CapitaLand Development (property development). Runs a structured Management Associate Programme alongside internships explicitly open to polytechnic students with strong academic and CCA track records, spanning real estate, sustainability, and corporate functions.",capitaland.com,capitaland.com/en/about-capitaland/careers.html,"Sustainability knowledge, project coordination, analytical skills",Diploma in Sustainable Built Environment,"CapitaLand Management Associate Programme, open to polytechnic students"
Marina Bay Sands,Hospitality / Integrated Resort,"Iconic integrated resort opened in 2010 and owned by Las Vegas Sands, globally recognised for its SkyPark and infinity pool. Combines a 2,500+ room hotel, casino, one of Asia's largest MICE convention centres, and luxury retail (The Shoppes) - one of Singapore's largest private-sector employers, with dedicated internship pathways for polytechnic students.",marinabaysands.com,careers.marinabaysands.com,"Service excellence, resilience under pressure, hospitality operations knowledge",Diploma in Hospitality & Tourism Management; Diploma in Hotel & Leisure Management,SkillsFuture - Hospitality & Guest Service WSQ courses
Shangri-La,Hospitality,"Asia's leading luxury hotel group, founded in Singapore in 1971 and now operating 100+ hotels and resorts across Asia Pacific, North America, Europe, and the Middle East, known for its 'Shangri-La hospitality' service philosophy. Runs graduate management trainee programmes across rooms division, F&B, and hotel operations.",shangri-la.com,careers.shangri-la.com,"Guest service mindset, PMS software familiarity (e.g. Opera), teamwork",Diploma in Hotel & Leisure Management,SkillsFuture - Hospitality & Guest Service WSQ courses
Singapore Tourism Board,Public Sector / Tourism,"Statutory board under the Ministry of Trade and Industry, driving Singapore's tourism sector through destination marketing, industry development, and bidding for major international events. Offers internships and structured graduate schemes for those interested in tourism policy, marketing, and destination development.",stb.gov.sg,stb.gov.sg/content/stb/en/about-stb/careers.html,"Cultural awareness, communication, tourism industry knowledge",Diploma in Hospitality & Tourism Management,SkillsFuture - 'Explore a Career' industry-specific short courses
Klook,Travel Technology,"Travel activities and experiences booking platform with a major Singapore presence, connecting travellers to tours, attractions, and local experiences across hundreds of thousands of listings worldwide. Hires into product, engineering, and commercial roles, with fast-paced startup-style internships.",klook.com,careers.klook.com,"Digital literacy, customer service, multitasking across bookings",Diploma in Hospitality & Tourism Management,SkillsFuture - WSQ Service Excellence courses
PwC,Professional Services,"One of the Big Four global professional services firms, offering audit & assurance, tax, and advisory/consulting services, with one of its largest Southeast Asian practices based in Singapore. Runs a dedicated Polytechnic Graduates pathway - distinct from its university scheme - plus internships structured specifically for poly students.",pwc.com,pwc.com/sg/en/careers.html,"Excel proficiency, analytical rigor, clear communication",Diploma in Business,SkillsFuture - 'Explore a Career' industry-specific short courses
Unilever,FMCG,"British-headquartered global consumer goods company behind household brands like Dove, Lipton, and Knorr, with a significant Singapore presence including regional functions. Runs the Unilever Future Leaders Programme (UFLP) and structured internships spanning supply chain, marketing, finance, and R&D.",unilever.com,careers.unilever.com/en/singapore,"Marketing analytics, brand thinking, consumer insight",Diploma in Consumer Insights & Psychology,SkillsFuture - 'Explore a Career' industry-specific short courses
P&G,FMCG,"Global consumer goods company (Procter & Gamble) with 2,000+ employees across its Singapore offices representing 40+ nationalities. Runs a Management Internship Program spanning brand management, finance, HR, supply chain, and R&D, giving interns real project responsibility from Day 1.",pg.com,pgcareers.com/sg/en,"Formulation science knowledge, GMP awareness, attention to detail",Diploma in Applied Chemistry; Diploma in Consumer Insights & Psychology,Coursera - 'Good Manufacturing Practices (GMP) Fundamentals'
L'Oreal,Beauty & Cosmetics,"World's largest cosmetics company, operating a significant Research & Innovation hub in Singapore that develops beauty formulations tailored to Asian markets, across luxury, consumer, professional, and dermatological beauty brands. Hires chemistry and science graduates into formulation, quality-control, and R&I roles.",loreal.com,careers.loreal.com,"Formulation science, quality-control mindset, market trend awareness",Diploma in Applied Chemistry,Coursera - Analytical Chemistry & Quality Control Fundamentals
Pfizer,Pharmaceutical,"Global pharmaceutical company with one of its longest-standing Asian manufacturing plants in Singapore, producing medicines for global distribution, alongside regional commercial operations. Hires science and engineering graduates into manufacturing, quality, and R&D functions.",pfizer.com,pfizer.com/about/careers,"GMP/GDP knowledge, regulatory awareness, documentation discipline",Diploma in Pharmaceutical Science,Coursera - 'Good Manufacturing Practices (GMP) Fundamentals'
GSK,Pharmaceutical,"British global healthcare and pharmaceutical company with a long-established Singapore manufacturing site producing vaccines and pharmaceutical products for global markets. Offers apprenticeships and internships for polytechnic and university students across manufacturing, quality, and supply chain.",gsk.com,gsk.com/en-gb/careers/,"Quality-assurance mindset, regulatory familiarity, meticulous documentation",Diploma in Pharmaceutical Science,Coursera - 'Good Manufacturing Practices (GMP) Fundamentals'
A*STAR,Public Sector / Research,"Agency for Science, Technology and Research - Singapore's lead public research agency, running 20+ research institutes spanning biomedical sciences, engineering, and infocomm technology. Awards scholarships and research attachments to polytechnic students through programmes like the A*STAR Research Attachment Programme.",a-star.edu.sg,a-star.edu.sg/Careers,"Lab discipline, curiosity, basic scripting (R/Python)",Diploma in Biological Sciences,Coursera - 'Good Laboratory Practice & Lab Safety Fundamentals'
Ensign InfoSecurity,Cybersecurity,"Asia's largest pure-play cybersecurity company, headquartered in Singapore, providing managed detection and response, penetration testing, and threat intelligence to governments and enterprises across the region. Runs a dedicated cybersecurity internship and graduate track for polytechnic and ITE students.",ensigninfosecurity.com,ensigninfosecurity.com/careers,"CTF/competition experience, scripting, security certifications",Diploma in Cybersecurity & Digital Forensics,TryHackMe - free hands-on cybersecurity training platform
Cyber Security Agency of Singapore,Public Sector / Cybersecurity,"Singapore's national cybersecurity agency, responsible for protecting critical infrastructure and coordinating national cyber incident response. Runs the Cybersecurity Associates and Technologists (CSAT) programme and internships for polytechnic cybersecurity graduates.",csa.gov.sg,csa.gov.sg/careers,"Security fundamentals, policy awareness, technical aptitude",Diploma in Cybersecurity & Digital Forensics,TryHackMe - free hands-on cybersecurity training platform
GXS Bank,Digital Banking,"One of Singapore's first digital banks, backed by Grab and Singtel, offering fully app-based savings and lending products with no physical branches, targeting underserved segments like gig workers and small businesses. Hires into product, engineering, and risk roles in a startup-style digital banking environment.",gxs.com.sg,gxs.com.sg/careers,"Coding fundamentals, product thinking, fintech literacy",Diploma in Financial Technology,freeCodeCamp - free coding curriculum with certifications
AWS,Cloud Computing,"Amazon Web Services - the world's largest cloud infrastructure provider, with a major Asia Pacific presence in Singapore including data centres and regional headquarters functions. Runs the AWS re/Start programme and structured internships for cloud engineering and solutions architecture roles.",aws.amazon.com,aws.amazon.com/careers/,"AWS certifications, Linux fundamentals, scripting",Diploma in Enterprise Cloud Computing & Management,AWS Skill Builder - free official AWS cloud training
Microsoft,Technology,"Global technology company with its Singapore office serving as an Asia Pacific hub, driving cloud (Azure), AI, and enterprise software adoption across the region. Offers the Microsoft Aspire Experience graduate programme and internships across engineering, sales, and customer success roles.",microsoft.com,careers.microsoft.com,"Cloud fundamentals, problem-solving, relevant certifications",Diploma in Enterprise Cloud Computing & Management,AWS Skill Builder - free official AWS cloud training
Infineon,Semiconductors,"German semiconductor company with a major manufacturing and R&D presence in Singapore, a key node in its global chip supply chain producing power semiconductors and sensors. Hires electrical/electronic engineering graduates into wafer fabrication, testing, and process engineering roles.",infineon.com,infineon.com/cms/en/about-infineon/careers/,"Circuit design knowledge, troubleshooting, precision",Diploma in Electrical & Electronic Engineering,SkillsFuture - Electrical & Automation WSQ courses
NTUC Health,Healthcare / Social Enterprise,"Community healthcare and eldercare provider under the NTUC Enterprise group, operating nursing homes, senior day care centres, and home care services across Singapore. Hires into care coordination, therapy, and community nursing roles, with pathways suited to Integrated Community Care diploma graduates.",ntuchealth.sg,ntuchealth.sg/careers,"Empathy, care documentation, communication with families",Diploma in Integrated Community Care,SkillsFuture - Healthcare Support / Community Care WSQ courses
NTUC Enterprise,Social Enterprise,"Singapore's largest social enterprise group, spanning FairPrice supermarkets, NTUC Health, NTUC Foodfare, and other essential services reaching nearly every Singapore household. One of Singapore's largest employers, hiring across retail, HR, and corporate functions through its LEAD management associate programme.",ntucenterprise.sg,ntucenterprise.sg/careers,"Interpersonal skills, HRIS systems familiarity, discretion with sensitive information",Diploma in Human Resource Management with Psychology,NTUC Enterprise LEAD Programme (management associate track)
Woodlands Health,Healthcare,"One of Singapore's newest public healthcare campuses, integrating acute hospital care, community hospital, and long-term care services in a single site under the National Healthcare Group. Hires nursing and allied health graduates into a newly built, technology-forward care environment.",woodlandshealth.sg,woodlandshealth.sg/careers,"Care coordination, empathy, communication with families",Diploma in Integrated Community Care,SkillsFuture - Healthcare Support / Community Care WSQ courses
Outward Bound Singapore,Outdoor Education,"Singapore's premier outdoor adventure education provider, running expedition-based leadership and character development programmes for youth and adults, largely based on Pulau Ubin. Hires instructors and facilitators, valuing outdoor education and facilitation-focused diploma graduates.",obs.edu.sg,obs.edu.sg/about-us/careers,"First aid certification, facilitation skills, risk assessment",Diploma in Outdoor Education,Sport Singapore - National Coaching Accreditation Programme (NCAP) courses
Esplanade,Arts & Culture,"Singapore's national performing arts centre, hosting theatre, concerts, dance, and festivals year-round, including extensive free community programming. Hires into production, technical (AV/lighting/sound), and arts administration roles, with internships suited to Arts & Entertainment Production Management graduates.",esplanade.com,esplanade.com/about-us/careers,"Technical AV knowledge, organisation, teamwork under pressure",Diploma in Arts & Entertainment Production Management,SkillsFuture - 'Explore a Career' industry-specific short courses
Carousell,E-commerce / Technology,"Singapore-founded classifieds and marketplace platform, one of Southeast Asia's largest consumer-to-consumer marketplaces, operating across Singapore, Malaysia, Indonesia, the Philippines, Taiwan, and Hong Kong. Hires into product design, engineering, and trust & safety roles within a startup-style, design-forward culture.",carousell.com,careers.carousell.com,"A design portfolio (Figma), UX thinking, prototyping skills",Diploma in Design,Figma - free UX/UI design courses and templates
ABB,Industrial Automation / Robotics,"Swiss-Swedish multinational specializing in industrial automation, robotics, and electrification technology, with manufacturing and R&D operations in Singapore.",abb.com,careers.abb,"Electrical/controls fundamentals, troubleshooting, familiarity with automation systems",Diploma in Electrical & Electronic Engineering,SkillsFuture - Electrical & Automation WSQ courses
ActiveSG,Sports / Community Recreation,"Sport Singapore's community sports brand, running island-wide sports facilities, programmes, and membership services to encourage an active lifestyle.",myactivesg.com,sportsingapore.gov.sg/careers,"Coaching/facilitation skills, customer service, sports programme knowledge",Diploma in Sports & Leisure Management (or related sports diplomas),Sport Singapore - National Coaching Accreditation Programme (NCAP) courses
Agency for Integrated Care,Public Sector / Healthcare,"Singapore government agency coordinating care for seniors and individuals with care needs, connecting them to community, home, and residential care services.",aic.sg,aic.sg/careers,"Care coordination knowledge, empathy, communication with families and caregivers",Diploma in Integrated Community Care,SkillsFuture - Healthcare Support / Community Care WSQ courses
Amazon,Technology / E-commerce,Global e-commerce and cloud computing company (AWS) with a regional presence and operations in Singapore.,amazon.com,amazon.jobs/en/locations/singapore,"Data/analytical skills, customer obsession mindset, familiarity with cloud or e-commerce operations",Diploma in Business; Diploma in Applied AI & Analytics,Coursera - Google Data Analytics Professional Certificate
Base Entertainment,Live Entertainment / Theatre,"Resident presenter, programmer, and manager of the Sands Theatre at Marina Bay Sands, bringing Broadway and West End productions and other live shows to Singapore.",baseasia.com,baseasia.com/careers,"Event operations, front-of-house/technical production skills, adaptability under live conditions",Diploma in Arts & Entertainment Production Management,SkillsFuture - Event Management WSQ courses
BCA,Public Sector / Built Environment,"Building and Construction Authority - Singapore government statutory board championing safety, quality, sustainability, and productivity across the built environment sector.",bca.gov.sg,bca.gov.sg/en/about-us/careers,"Sustainability/green building knowledge, regulatory awareness, project coordination",Diploma in Sustainable Built Environment,SkillsFuture - Sustainability & Green Building WSQ courses
CAAS,Public Sector / Aviation,"Civil Aviation Authority of Singapore - the government body overseeing aviation safety, security, and air hub development for Singapore's aviation industry.",caas.gov.sg,caas.gov.sg/careers,"Regulatory/compliance awareness, attention to detail, aviation industry knowledge",Diploma in Aviation Management,SkillsFuture - 'Explore a Career' industry-specific short courses
CNA,Media & Broadcasting,Channel NewsAsia - Mediacorp's English-language news channel and digital news platform covering Singapore and regional current affairs.,cna.asia,mediacorp.recruiterpal.com,"News writing/storytelling, research skills, adaptability across broadcast and digital formats",Diploma in Mass Communication,LinkedIn Learning - Journalism & Storytelling Fundamentals
Comexposium,Events / MICE,"Global exhibition and event organiser with a Singapore office, running large-scale trade shows and conferences across multiple industry sectors.",comexposium.com,comexposium.com/careers,"Event logistics coordination, stakeholder communication, organisation under deadlines",Diploma in Events Management (or related business/hospitality diplomas),SkillsFuture - Event Management WSQ courses
DHL,Logistics,"Global logistics and courier company with extensive freight, express, and supply-chain operations in Singapore.",dhl.com,careers.dhl.com,"Operations/ERP familiarity, process discipline, problem-solving under time pressure",Diploma in Supply Chain Management,SkillsFuture - Supply Chain & Operations WSQ courses
Edelman,Public Relations / Communications,"Global communications and public relations firm with a Singapore office providing strategic communications, PR, and reputation management services.",edelman.com,edelman.com/careers,"Writing/storytelling, media relations knowledge, client communication",Diploma in Mass Communication,LinkedIn Learning - Journalism & Storytelling Fundamentals
Flex,Electronics Manufacturing,"Global electronics manufacturing services (EMS) company with manufacturing and design operations in Singapore, serving industries from consumer tech to healthcare.",flex.com,flex.com/careers,"Manufacturing process knowledge, quality control mindset, troubleshooting",Diploma in Electrical & Electronic Engineering,SkillsFuture - Electrical & Automation WSQ courses
Givaudan,Flavours & Fragrances,"Swiss flavour and fragrance company with regional manufacturing and innovation facilities in Singapore, serving the food, beverage, and consumer goods industries.",givaudan.com,givaudan.com/careers,"Formulation science knowledge, quality control testing, attention to detail",Diploma in Applied Chemistry,Coursera - Analytical Chemistry & Quality Control Fundamentals
Given Imaging,Medical Devices (part of Medtronic),"Pioneer of capsule endoscopy technology for gastrointestinal diagnostics; now part of Medtronic's GI Solutions business, with a regional presence in Singapore.",medtronic.com,medtronic.com/careers,"Lab discipline, documentation accuracy, interest in medical device technology",Diploma in Biological Sciences,Coursera - 'Good Laboratory Practice & Lab Safety Fundamentals'
Grab Financial Group,Fintech,"Grab's financial services arm offering payments, lending, and insurance products across Southeast Asia, headquartered in Singapore.",grab.com,grab.careers/en/jobs/,"Fintech/product literacy, data analysis, fast execution in a fast-paced environment",Diploma in Financial Technology,Coursera - Google Data Analytics Professional Certificate
Health Promotion Board,Public Sector / Public Health,Singapore government statutory board driving national health promotion programmes and preventive health initiatives.,hpb.gov.sg,hpb.gov.sg/careers,"Public health knowledge, communication, programme coordination",Diploma in Integrated Community Care,SkillsFuture - 'Explore a Career' industry-specific short courses
Home Team agencies,Public Sector / Home Affairs (collective term),"Collective term for agencies under Singapore's Ministry of Home Affairs (e.g. Police, Civil Defence, Immigration & Checkpoints, Prisons) responsible for public safety and security. Note: this is a category, not a single named employer - consider specifying the exact agency in the Career Database if possible.",mha.gov.sg,mha.gov.sg/careers,"Discipline, teamwork under pressure, public-service mindset",Diploma in Security Management & Governance (or related diplomas),SkillsFuture - 'Explore a Career' industry-specific short courses
IHG Hotels & Resorts,Hospitality,"Global hotel group (InterContinental, Holiday Inn, Crowne Plaza, and others) with multiple properties and a regional office in Singapore.",ihg.com,careers.ihg.com,"Guest service mindset, PMS software familiarity, teamwork",Diploma in Hotel & Leisure Management,SkillsFuture - Hospitality & Guest Service WSQ courses
JTC,Public Sector / Industrial Infrastructure,"JTC Corporation - Singapore's lead government agency for planning and developing industrial infrastructure, from business parks to specialised manufacturing facilities.",jtc.gov.sg,jtc.gov.sg/careers,"Project coordination, technical/engineering fundamentals, analytical thinking",Diploma in Business Process & Engineering Management,Coursera - Google Data Analytics Professional Certificate
Kantar,Market Research / Data Analytics,"Global market research and data analytics company providing consumer insights and brand research services, with a Singapore office.",kantar.com,kantar.com/careers,"Data analysis, survey/research methodology, clear reporting of insights",Diploma in Consumer Insights & Psychology,Coursera - Google Data Analytics Professional Certificate
Les Amis Group,F&B / Fine Dining,"Singapore's most diverse F&B group, operating Michelin-starred fine dining as well as casual dining concepts across French, Japanese, and Asian cuisines.",lesamisgroup.com.sg,lesamisgroup.com.sg/careers,"Service excellence, attention to detail, resilience in a fast-paced kitchen/service environment",Diploma in Hotel & Leisure Management,SkillsFuture - WSQ Service Excellence courses
MCI Group,Events / Association Management,"Global meetings, events, and association management company with an Asia-Pacific hub in Singapore, running conferences, congresses, and destination management services.",mci-group.com,mci-group.com/careers,"Event logistics, client communication, organisation across multiple stakeholders",Diploma in Events Management (or related business/hospitality diplomas),SkillsFuture - Event Management WSQ courses
MINDEF,Public Sector / Defence,Ministry of Defence Singapore - the government ministry overseeing Singapore's defence policy and the Singapore Armed Forces.,mindef.gov.sg,mindef.gov.sg/careers,"Discipline, technical/engineering fundamentals, security awareness",Diploma in Defence & Security Management,SkillsFuture - Engineering fundamentals WSQ courses
Merck,Pharmaceutical / Life Science,German pharmaceutical and life science company (Merck KGaA) with manufacturing and R&D operations in Singapore.,merck.com,merckgroup.com/en/careers.html,"GMP knowledge, regulatory awareness, documentation discipline",Diploma in Pharmaceutical Science; Diploma in Biological Sciences,Coursera - 'Good Manufacturing Practices (GMP) Fundamentals'
Micron,Semiconductors,Global memory and storage semiconductor company with a major manufacturing fab in Singapore.,micron.com,micron.com/careers,"Circuit/process fundamentals, troubleshooting, precision in a cleanroom environment",Diploma in Electrical & Electronic Engineering,SkillsFuture - Electrical & Automation WSQ courses
NEA,Public Sector / Environment,"National Environment Agency - Singapore's lead agency for environmental protection, public health, and climate resilience initiatives.",nea.gov.sg,nea.gov.sg/careers,"Regulatory/compliance awareness, data analysis, public communication",Diploma in Sustainable Built Environment,Coursera - Google Data Analytics Professional Certificate
NParks,Public Sector / Parks & Greenery,"National Parks Board - Singapore's lead agency for parks, greenery, biodiversity conservation, and the 'City in Nature' vision.",nparks.gov.sg,nparks.gov.sg/careers,"Biodiversity/environmental knowledge, fieldwork discipline, public engagement",Diploma in Outdoor Education,Coursera - Conservation & Environmental Science Fundamentals
NielsenIQ,Market Research / Consumer Data,"Global consumer intelligence and market research company providing retail and consumer behaviour data, with a Singapore office.",nielseniq.com,nielseniq.com/global/en/careers/,"Data analysis, attention to detail, clear reporting of consumer insights",Diploma in Consumer Insights & Psychology,Coursera - Google Data Analytics Professional Certificate
OUE Restaurants,F&B / Restaurant Group,"Food and lifestyle division of OUE Limited, operating a portfolio of restaurant and bar concepts in Singapore spanning fine dining to casual dining.",ouerestaurants.com,ouerestaurants.com/careers,"Service excellence, multitasking under pressure, teamwork",Diploma in Hotel & Leisure Management,SkillsFuture - WSQ Service Excellence courses
Ogilvy,Advertising / PR,"Global advertising and public relations agency with a Singapore office, providing brand, communications, and creative campaign services.",ogilvy.com,ogilvy.com/sg/careers,"Creative thinking, client communication, portfolio of campaign/content work",Diploma in Mass Communication,SkillsFuture - 'Explore a Career' industry-specific short courses
Omron,Industrial Automation / Electronics,"Japanese electronics and industrial automation company with regional operations in Singapore, spanning factory automation, healthcare, and electronic components.",omron.com,omron.com/global/en/careers/,"Circuit/automation fundamentals, troubleshooting, precision",Diploma in Electrical & Electronic Engineering,SkillsFuture - Electrical & Automation WSQ courses
Pico,Events / Exhibition Production,"Global brand experience and exhibition production group headquartered in Hong Kong with a Singapore presence, delivering trade show and event production services.",pico.com,pico.com/careers,"Event production coordination, client communication, organisation across timelines",Diploma in Events Management (or related business/hospitality diplomas),SkillsFuture - Event Management WSQ courses
Pratt & Whitney,Aerospace,"Global aircraft engine manufacturer with a maintenance, repair, and overhaul (MRO) presence in Singapore supporting regional aviation operations.",prattwhitney.com,careers.rtx.com/global/en/pratt-whitney,"Technical precision, engineering fundamentals, discipline under regulation",Diploma in Aerospace Systems & Management (or related engineering diplomas),SkillsFuture - Engineering fundamentals WSQ courses
Quest Diagnostics,Clinical Diagnostics,"Global clinical laboratory testing company providing diagnostic information services, with a presence supporting the Asia-Pacific region.",questdiagnostics.com,questdiagnostics.com/about/careers,"Lab discipline, accurate documentation, quality-control mindset",Diploma in Biological Sciences,Coursera - 'Good Laboratory Practice & Lab Safety Fundamentals'
Roche Diagnostics,Pharmaceutical / Diagnostics,"Swiss pharmaceutical and diagnostics company with a manufacturing and innovation presence in Singapore, producing diagnostic and life science products.",roche.com,careers.roche.com,"GMP/quality-assurance mindset, regulatory familiarity, meticulous documentation",Diploma in Pharmaceutical Science; Diploma in Biological Sciences,Coursera - 'Good Manufacturing Practices (GMP) Fundamentals'
SGH,Healthcare,"Singapore General Hospital - the country's largest and oldest tertiary hospital, providing acute and specialist medical care.",sgh.com.sg,sgh.com.sg/careers,"Care coordination, empathy, communication with patients and families",Diploma in Integrated Community Care,SkillsFuture - Healthcare Support / Community Care WSQ courses
SIA Engineering Company,Aviation / MRO,"Asia's foremost aircraft Maintenance, Repair and Overhaul (MRO) provider and a subsidiary of Singapore Airlines, holding certifications from more than 20 airworthiness authorities and serving over 80 international airlines. Runs structured Trainee Aircraft Engineer and Trainee Technician programmes (including a 16-month traineeship leading to an aircraft maintenance license) that are specifically designed as entry pathways for polytechnic and ITE graduates into licensed aviation engineering careers.",siaec.com.sg,siaec.com.sg/our_company/people/careers.html,"Technical precision, engineering fundamentals, discipline under regulation",Diploma in Aviation Management,SIAEC Trainee Aircraft Engineer / Trainee Technician Programme - 16-month traineeship leading to an aircraft maintenance license
ST Engineering Aerospace,Aerospace / Engineering,"Aerospace division of ST Engineering, providing MRO, engineering, and manufacturing services for the aviation industry.",stengg.com,stengg.com/en/careers/,"Technical precision, engineering fundamentals, discipline under regulation",Diploma in Aviation Management; Diploma in Electrical & Electronic Engineering,SkillsFuture - Engineering fundamentals WSQ courses
ST Marine,Marine / Defence Engineering,"Marine division of ST Engineering, specialising in shipbuilding, repair, and naval engineering.",stengg.com,stengg.com/en/careers/,"Technical precision, engineering fundamentals, discipline under regulation",Diploma in Mobility & Robotic Systems (or related engineering diplomas),SkillsFuture - Engineering fundamentals WSQ courses
