School,Diploma,Skills Learned,Career Roles,Companies Hiring,Skills Employers Want,Resources
School of Infocomm,Diploma in Cybersecurity & Digital Forensics,"Network security, penetration testing basics, digital forensics","Security Analyst, SOC Analyst, Junior Penetration Tester","Ensign InfoSecurity, Cyber Security Agency of Singapore, DBS Bank, GovTech, NCS, Accenture, Home Team agencies, MINDEF, Microsoft","problem-solving, Discipline, CTF/competition experience, scripting, security certifications, Security fundamentals","TryHackMe, TCM Security Academy, Hack The Box"
School of Infocomm,Diploma in Enterprise Cloud Computing & Management,"Cloud infrastructure, DevOps basics, virtualisation","Cloud Support Associate, Junior DevOps Engineer, Systems Administrator","AWS, Microsoft, NCS, ST Engineering, Accenture, GovTech, Grab, DBS Bank, Bosch","problem-solving, AWS certifications, Linux fundamentals, scripting, Cloud fundamentals, relevant certifications","AWS Educate, Microsoft Learn"
School of Infocomm,Diploma in Financial Technology,"Fintech systems, blockchain basics, payments technology","Fintech Associate, Business Analyst (Fintech), Junior Developer","DBS Bank, GXS Bank, Grab Financial Group, Accenture, NCS, Deloitte, KPMG, Shopee, AWS","Analytical thinking, data analysis, client communication, Digital/fintech literacy, communication, customer-first mindset","MAS Fintech resources, Coursera 'Fintech Foundations'"
School of Infocomm,Diploma in Information Technology,"Software development, databases, systems analysis","Software Developer, IT Support Engineer, Systems Analyst","NCS, Accenture, Grab, GovTech, Microsoft, AWS, DBS Bank, ST Engineering, Shopee","problem-solving, Coding portfolio (GitHub), cloud fundamentals, teamwork on client projects, Analytical thinking, adaptability","freeCodeCamp, GitHub, LeetCode"
School of Sports and Health,Common Sports & Health Programme,"Foundational sports and health concepts, Problem-based learning basics, Human anatomy & physiology basics, Coaching principles basics, Community care basics, Health promotion basics",Exploratory - leads into any SSH diploma,"Woodlands Health, Agency for Integrated Care, Outward Bound Singapore, Sport Singapore, Singapore Sports Institute, Health Promotion Board, ActiveSG, NTUC Health, SAFRA","Physical fitness interest, Communication, Coaching/facilitation skills, Care coordination, Empathy, Community engagement",RP SSH course guide
School of Sports and Health,Diploma in Integrated Community Care,"Care coordination, gerontology basics, case management","Community Care Associate, Case Coordinator","Woodlands Health, Agency for Integrated Care, NTUC Health, Health Sciences Authority, SGH, TTSH, National University Hospital, KK Women's and Children's Hospital, Health Promotion Board","empathy, Care coordination, communication with families, communication with patients and families, Lab discipline, patient-care mindset",AIC training resources
School of Sports and Health,Diploma in Outdoor Education,"Outdoor facilitation, risk management, adventure programming","Outdoor Instructor, Adventure Programme Coordinator","Outward Bound Singapore, NParks, NEA, Sport Singapore, Mandai Wildlife Group, Ministry of Education, SAFRA, Singapore Sports Institute, Maritime and Port Authority of Singapore","fieldwork discipline, community engagement, First aid certification, facilitation skills, risk assessment, Biodiversity/environmental knowledge","Outward Bound Singapore courses, first aid certification (SRC)"
School of Sports and Health,Diploma in Sport Coaching,"Coaching methodology, athlete development, sports psychology basics","Assistant Coach, Sports Programme Executive","Sport Singapore, ActiveSG, Ministry of Education, SAFRA, True Fitness, Singapore Sports Institute, Outward Bound Singapore, NParks, Health Promotion Board","customer service, community engagement, Coaching/facilitation skills, Programme coordination, sports industry knowledge, sports programme knowledge",SportSG coaching accreditation courses
School of Sports and Health,Diploma in Sport & Exercise Science,"Biomechanics, exercise physiology, performance analysis","Sports Science Assistant, Fitness Consultant, Performance Analyst","Singapore Sports Institute, True Fitness, SAFRA, Sport Singapore, ActiveSG, Health Promotion Board, National University Hospital, Woodlands Health, Outward Bound Singapore","customer service, Coaching/facilitation skills, community engagement, Sports science knowledge, data tracking, coaching support skills","ACSM certification info, Singapore Sports Institute resources"
School of Sports and Health,Diploma in Sports & Health,"General sports science, health promotion, fitness training basics","Fitness Instructor, Health Promotion Officer","Health Promotion Board, ActiveSG, True Fitness, SAFRA, NTUC Health, Sport Singapore, Singapore Sports Institute, Woodlands Health, Agency for Integrated Care","customer service, Coaching/facilitation skills, community engagement, communication with families, empathy, Public health knowledge","HPB resources, ActiveSG training programmes"
"School of Technology for Arts, Media and Design","Common Arts, Media and Design Programme","Foundational arts/media/design concepts, Problem-based learning basics, Design thinking basics, Digital media production basics, Visual communication basics, Creative production basics",Exploratory - leads into any STA diploma,"Esplanade, Base Entertainment, The Ebenex Group, Carousell, Grab, Mediacorp, Ubisoft Singapore, Garena, Kingsmen Creatives","Creativity, Curiosity, Willingness to experiment, Design portfolio, Project coordination, Client communication",RP STA course guide
"School of Technology for Arts, Media and Design",Diploma in Arts & Entertainment Production Management,"Event/production management, technical production, logistics","Production Coordinator, Stage Manager, Technical Production Assistant","Esplanade, Base Entertainment, The Ebenex Group, MCI Group, Pico, Comexposium, Marina Bay Sands, Resorts World Sentosa, Mediacorp","organisation, client communication, Technical AV knowledge, teamwork under pressure, Event operations, front-of-house/technical production skills","Esplanade internship programme, technical theatre short courses"
"School of Technology for Arts, Media and Design",Diploma in Design,"UI/UX design, graphic design, design thinking","UI/UX Designer, Graphic Designer, Product Designer","Carousell, Grab, Kingsmen Creatives, Ogilvy, The Ebenex Group, Mediacorp, CNA, Shopee, Esplanade","client communication, organisation, A design portfolio (Figma), UX thinking, prototyping skills, Full-stack/mobile development","Figma tutorials, Behance portfolio building"
"School of Technology for Arts, Media and Design",Diploma in Digital Content Creation,"Video production, motion graphics, content strategy","Content Creator, Video Editor, Social Media Producer","Mediacorp, CNA, Ogilvy, Edelman, Grab, Shopee, Carousell, Garena, MCI Group","client communication, A strong content portfolio, storytelling, adaptability across platforms, News writing/storytelling, research skills","YouTube Creator Academy, Adobe tutorials"
"School of Technology for Arts, Media and Design",Diploma in Sonic Arts,"Sound design, audio production, Foley/post-production","Sound Designer, Audio Engineer, Foley Artist","The Ebenex Group, Ubisoft Singapore, Garena, Mediacorp, CNA, Kingsmen Creatives, Esplanade, Base Entertainment, Pico","organisation, client communication, AV/technical production skills, teamwork under live conditions, Creative/technical game development skills, teamwork","Pro Tools certification, RP Foley Arts Studio practice"
